asset,n_recession_episodes,n_expansion_episodes,gated,recession_mean,expansion_mean,welch_t,welch_p,mannwhitney_u,mannwhitney_p,welch_p_q,mannwhitney_p_q
Equities (S&P 500 TR),15,15,False,0.10331985584621607,0.8975482096692614,-3.318,0.004266907663989818,25.0,0.0003078634611799441,0.02133453831994909,0.0025013906220870455
Gold,15,15,False,0.11130664021720281,0.48666384277419394,-1.596,0.12785817669248517,93.0,0.43059671018389833,0.2597119214066105,0.6151381574055691
Silver (derived),16,15,False,0.08482195137726242,0.4310990417790422,-1.627,0.11540560888468758,62.0,0.023032986290877723,0.24197950250015138,0.08317467271705845
Copper (PPI index),11,10,False,-0.028757100416911527,0.4569210954837672,-2.937,0.014915477370999734,13.0,0.0034740985852302927,0.0570297664185284,0.018065312643197523
Oil (WTI-era),11,11,False,0.169577874315388,0.33368257414852365,-0.672,0.5102032399649693,57.0,0.8438314252467704,0.6837775380973815,0.8991646334596733
