date,composite,bucket
1999-01-01,58.72902157079811,Elevated
1999-02-01,56.99025904933477,Elevated
1999-03-01,57.38365169818544,Elevated
1999-04-01,60.09957051290124,Elevated
1999-05-01,56.0996716412809,Elevated
1999-06-01,59.52014386977306,Elevated
1999-07-01,61.1656348042498,Elevated
1999-08-01,62.87428632595875,Elevated
1999-09-01,63.00413532330862,Elevated
1999-10-01,61.33739092157916,Elevated
1999-11-01,62.585970513134605,Elevated
1999-12-01,62.16692496802338,Elevated
2000-01-01,62.780419369623736,Elevated
2000-02-01,64.45841300220955,Elevated
2000-03-01,67.52230229883385,Warning
2000-04-01,66.15673488981558,Warning
2000-05-01,65.57591731838944,Warning
2000-06-01,67.65751087578975,Warning
2000-07-01,68.40859064735812,Warning
2000-08-01,69.23883238960222,Warning
2000-09-01,68.19739707326693,Warning
2000-10-01,67.9416696219908,Warning
2000-11-01,73.19068579209637,Extreme
2000-12-01,75.07970771150997,Extreme
2001-01-01,77.2411206008503,Extreme
2001-02-01,81.89486808932601,Extreme
2001-03-01,78.95795392703646,Extreme
2001-04-01,77.95547581155886,Extreme
2001-05-01,75.3974790096591,Extreme
2001-06-01,74.903473079636,Extreme
2001-07-01,73.27548912648788,Extreme
2001-08-01,73.2849266002607,Extreme
2001-09-01,74.39539078526336,Extreme
2001-10-01,75.71953864194703,Extreme
2001-11-01,72.47647819801979,Extreme
2001-12-01,71.48447983189375,Warning
2002-01-01,68.19106144945604,Warning
2002-02-01,70.2993299451526,Warning
2002-03-01,69.16722820295708,Warning
2002-04-01,67.70864409157235,Warning
2002-05-01,65.51367020099383,Warning
2002-06-01,66.3150490926376,Warning
2002-07-01,66.39740838493283,Warning
2002-08-01,68.63061837559408,Warning
2002-09-01,68.2128130211773,Warning
2002-10-01,66.3835499325591,Warning
2002-11-01,62.87879270430109,Elevated
2002-12-01,65.61575940566479,Warning
2003-01-01,63.613405341237836,Elevated
2003-02-01,64.21022061505688,Elevated
2003-03-01,62.87725716642045,Elevated
2003-04-01,59.1623561129163,Elevated
2003-05-01,60.51871328669123,Elevated
2003-06-01,60.95290097313229,Elevated
2003-07-01,55.77259197920133,Elevated
2003-08-01,56.549591458076335,Elevated
2003-09-01,57.91977697605044,Elevated
2003-10-01,55.57265249429693,Elevated
2003-11-01,53.82666686889817,Elevated
2003-12-01,52.358671345012745,Elevated
2004-01-01,47.7073198791263,Normal
2004-02-01,47.13991298580592,Normal
2004-03-01,49.27109412135415,Normal
2004-04-01,47.82374704728995,Normal
2004-05-01,48.07063361040383,Normal
2004-06-01,47.07895278756971,Normal
2004-07-01,46.735476480621266,Normal
2004-08-01,48.22862988690886,Normal
2004-09-01,49.4065506012159,Normal
2004-10-01,52.98135358672311,Elevated
2004-11-01,52.928248225179594,Elevated
2004-12-01,49.41211691546235,Normal
2005-01-01,49.37833266387579,Normal
2005-02-01,50.972399387499486,Elevated
2005-03-01,52.573712798573965,Elevated
2005-04-01,54.51151852940147,Elevated
2005-05-01,53.21360486977486,Elevated
2005-06-01,49.271733377335885,Normal
2005-07-01,51.82268268430332,Elevated
2005-08-01,55.21256025568035,Elevated
2005-09-01,60.28179573966352,Elevated
2005-10-01,58.7603690486518,Elevated
2005-11-01,57.371140927995675,Elevated
2005-12-01,53.926849185373435,Elevated
2006-01-01,54.99900607676908,Elevated
2006-02-01,55.74221252893322,Elevated
2006-03-01,54.695203077179656,Elevated
2006-04-01,58.76659556364791,Elevated
2006-05-01,60.73912460613806,Elevated
2006-06-01,60.074173014189945,Elevated
2006-07-01,65.2044097276245,Warning
2006-08-01,65.68081312152604,Warning
2006-09-01,64.87786502931911,Elevated
2006-10-01,61.980073574369314,Elevated
2006-11-01,63.41632323936348,Elevated
2006-12-01,63.796700307224754,Elevated
2007-01-01,62.88923500624591,Elevated
2007-02-01,67.7865229704179,Warning
2007-03-01,64.56673816722267,Elevated
2007-04-01,62.900557704319155,Elevated
2007-05-01,61.782539565851835,Elevated
2007-06-01,64.52123689070801,Elevated
2007-07-01,68.14450179327571,Warning
2007-08-01,69.51404833682925,Warning
2007-09-01,67.66956299569998,Warning
2007-10-01,71.6814960690774,Warning
2007-11-01,75.3647619361052,Extreme
2007-12-01,76.68930963962725,Extreme
2008-01-01,73.87055593184326,Extreme
2008-02-01,72.84765745153577,Extreme
2008-03-01,73.74725736954298,Extreme
2008-04-01,73.54425193915174,Extreme
2008-05-01,70.18415015353926,Warning
2008-06-01,74.71499809146388,Extreme
2008-07-01,73.72458499572903,Extreme
2008-08-01,74.1346916363364,Extreme
2008-09-01,73.33366338920767,Extreme
2008-10-01,66.32004083762722,Warning
2008-11-01,63.98856036116014,Elevated
2008-12-01,65.00539003041618,Warning
2009-01-01,62.88751771859007,Elevated
2009-02-01,62.41477353738073,Elevated
2009-03-01,62.09113476238694,Elevated
2009-04-01,61.32859236883251,Elevated
2009-05-01,61.33021407906695,Elevated
2009-06-01,62.477919399390274,Elevated
2009-07-01,64.50396807670376,Elevated
2009-08-01,66.62731055500394,Warning
2009-09-01,66.21529610951575,Warning
2009-10-01,67.15469845273874,Warning
2009-11-01,66.65092072194737,Warning
2009-12-01,65.21608120956967,Warning
2010-01-01,63.27774713713714,Elevated
2010-02-01,62.22106028258919,Elevated
2010-03-01,61.58812554508647,Elevated
2010-04-01,58.78042931442685,Elevated
2010-05-01,59.03682101957597,Elevated
2010-06-01,58.72498780249387,Elevated
2010-07-01,55.83402290030454,Elevated
2010-08-01,54.65420267051612,Elevated
2010-09-01,55.90633753021098,Elevated
2010-10-01,55.739076506516945,Elevated
2010-11-01,56.236426802800864,Elevated
2010-12-01,52.397036249714155,Elevated
2011-01-01,49.82869684017377,Normal
2011-02-01,48.21801264931729,Normal
2011-03-01,49.54395393611995,Normal
2011-04-01,51.09787833798982,Elevated
2011-05-01,51.94164919179409,Elevated
2011-06-01,53.162662881350535,Elevated
2011-07-01,52.69723769466837,Elevated
2011-08-01,53.818759169192475,Elevated
2011-09-01,53.77161039390825,Elevated
2011-10-01,57.454495211649,Elevated
2011-11-01,54.922080808969596,Elevated
2011-12-01,51.318277196102564,Elevated
2012-01-01,53.20028261445582,Elevated
2012-02-01,52.559233857039565,Elevated
2012-03-01,51.65384695239376,Elevated
2012-04-01,51.63430932394631,Elevated
2012-05-01,52.89775171317626,Elevated
2012-06-01,51.53803857388962,Elevated
2012-07-01,55.54496193836068,Elevated
2012-08-01,54.57583541908222,Elevated
2012-09-01,50.49826904068481,Elevated
2012-10-01,48.98957072114665,Normal
2012-11-01,48.45201960545549,Normal
2012-12-01,50.35109046816165,Elevated
2013-01-01,56.02642110070241,Elevated
2013-02-01,54.5891651750856,Elevated
2013-03-01,54.445362635983145,Elevated
2013-04-01,50.0047372752532,Elevated
