,Equities (S&P 500 TR),Gold,Silver (derived),Copper (PPI index),Oil (WTI-era)
Equities (S&P 500 TR),1.0,0.02258131195836459,0.14858747782013756,-0.40195065681194253,-0.32422521826002226
Gold,0.02258131195836459,1.0,0.6496692040134068,0.5353095611828679,0.47234569481999333
Silver (derived),0.14858747782013756,0.6496692040134068,1.0,0.7449368954360523,0.8896598469138154
Copper (PPI index),-0.40195065681194253,0.5353095611828679,0.7449368954360523,1.0,0.7945040846160195
Oil (WTI-era),-0.32422521826002226,0.47234569481999333,0.8896598469138154,0.7945040846160195,1.0
