episode,stage,date,composite,n_live,valuation,macro_labor,credit,sentiment
Dot-com,start,1998-12-31,61.852207574755894,12,79.14255091103965,45.73764285010566,82.13988750305698,49.956013572954625
Dot-com,peak,2000-03-31,64.60897076920143,12,91.93498909709132,46.41463873869384,67.08730741012472,55.99681622051862
Dot-com,burst,2001-03-31,70.53450010312484,12,72.86450826033928,62.453125704757085,90.8192712154561,67.14004440534539
GFC,start,2004-06-30,41.49232159429598,12,62.51136489632998,30.851304945553522,31.52115431645879,37.80144666471171
GFC,peak,2007-10-31,68.49357381564961,12,70.98181616587205,63.42446101191301,73.74663731963805,71.78165975451385
GFC,burst,2008-09-30,69.4733159272569,12,49.43434231437335,69.81204037798057,90.1198337001712,88.00148017817993
COVID,peak,2020-02-29,53.76712448190533,12,77.4206305207525,46.47042818604714,37.63267302518953,42.052420649882
COVID,burst,2020-03-31,58.624104581526446,12,72.89222751968067,59.45849156521341,37.63267302518953,48.85425830505634
Current,now,2026-06-21,70.37921009027743,14,98.16516982666224,61.723427844663526,28.138931465893307,80.12965523019564
