,Equities (S&P 500 TR),Gold,Silver (derived),Copper (PPI index),Oil (WTI-era)
Equities (S&P 500 TR),1.0,-0.08134778061567179,-0.002802761558407582,-0.03907098982447368,-0.20409582739525833
Gold,-0.08134778061567179,1.0,0.651174602720908,0.2738637594976037,0.06800237112565719
Silver (derived),-0.002802761558407582,0.651174602720908,1.0,0.48798746459797876,0.14184223174989835
Copper (PPI index),-0.03907098982447368,0.2738637594976037,0.48798746459797876,1.0,0.397368848836472
Oil (WTI-era),-0.20409582739525833,0.06800237112565719,0.14184223174989835,0.397368848836472,1.0
