ratio,note,latest_year,latest_value,zscore_vs_history,history_start,n_years
Gold/Silver ratio,oz silver per oz gold -- monetary vs monetary+industrial split,2025,108.114,2.39,1927,99
Gold/Copper relative performance,"growth-of-100 index ratio, since 1953 -- safe-haven vs industrial-cyclical gauge",2025,6.934,3.33,1953,73
