,Normal,Elevated,Warning,Extreme
Normal,41.9,55.4,1.4,1.4
Elevated,11.6,70.7,13.9,3.7
Warning,0.6,27.9,43.5,27.9
Extreme,1.2,8.3,56.0,34.5
