,Equities (S&P 500 TR),Gold,Silver (derived),Copper (PPI index),Oil (WTI-era)
Equities (S&P 500 TR),1.0,-0.058245855001976925,0.04255950254533451,-0.0721606601099708,-0.25044100701550986
Gold,-0.058245855001976925,1.0,0.6404970764197028,0.2914848468085566,0.13783520854863462
Silver (derived),0.04255950254533451,0.6404970764197028,1.0,0.504404015899286,0.34126402126605315
Copper (PPI index),-0.0721606601099708,0.2914848468085566,0.504404015899286,1.0,0.44025710932264456
Oil (WTI-era),-0.25044100701550986,0.13783520854863462,0.34126402126605315,0.44025710932264456,1.0
